q,eps,B_i,mu_i,sig_i,thresh,mean_abs_belief,score,N_i
0.3,0.05,-1.0,1.0,0.0,0.3104700874618215,1.9723679776246452,85.0,368.0
0.3,0.1143,-0.48396447490342415,1.0666666666666667,0.3709239019836845,0.34745381575169815,1.2599230303998117,60.0,345.0
0.3,0.1786,-0.32353846027595745,1.2065573770491804,0.6166724168135737,0.3971386653316105,0.9341007361814311,44.0,305.0
0.3,0.2429,-0.32429880474583167,1.4661354581673307,0.7480709624881969,0.4389130421757044,0.7499651539711666,18.0,251.0
0.3,0.3071,-0.32888458642517576,1.8258706467661692,0.9221041065236293,0.4726044109457928,0.6953502710874766,27.0,201.0
0.3,0.3714,-0.3833318241193107,2.067415730337079,0.9216223215465114,0.5150945736855667,0.6566193029473122,24.0,178.0
0.3,0.4357,-0.542314193934222,2.4466666666666668,0.7260547882601942,0.5236463121950522,0.6389266190426458,36.0,150.0
0.3,0.5,-0.4835548262456784,2.602836879432624,0.9060821485475272,0.5236463121950522,0.530499531144448,33.0,141.0
0.3,0.05,-1.0,1.0,0.0,0.3104700874618215,2.1578011626727975,92.0,368.0
0.3,0.1143,-0.432250298485807,1.108433734939759,0.4393875308147101,0.34745381575169815,1.1186575100407585,39.0,332.0
0.3,0.1786,-0.41115709618075325,1.1757188498402555,0.49060002142120357,0.3971386653316105,0.9904884850341678,57.0,313.0
0.3,0.2429,-0.324654374509082,1.4838709677419355,0.7565186709392628,0.4389130421757044,0.7451301142167854,35.0,248.0
0.3,0.3071,-0.3628455933354677,1.7037037037037037,0.7965115988002432,0.4726044109457928,0.7459578277892818,28.0,216.0
0.3,0.3714,-0.3230327641146436,2.067415730337079,1.0578518917698714,0.5150945736855667,0.6358992088836707,20.0,178.0
0.3,0.4357,-0.4956337231642067,2.6594202898550723,0.8968251312881799,0.5236463121950522,0.6047549926444133,12.0,138.0
0.3,0.5,-0.4630621414432433,2.489795918367347,0.913744981011374,0.5236463121950522,0.5515494891949257,10.0,147.0
0.3,0.05,-1.0,1.0,0.0,0.3104700874618215,2.015746711293872,80.0,368.0
0.3,0.1143,-0.4883988619091883,1.0887573964497042,0.37423404262347687,0.34745381575169815,1.15268055487632,45.0,338.0
0.3,0.1786,-0.3824457693879406,1.2867132867132867,0.5747894430219446,0.3971386653316105,0.8557385684848788,36.0,286.0
0.3,0.2429,-0.31379408821573856,1.4621513944223108,0.7636942042712501,0.4389130421757044,0.7221646463666538,32.0,251.0
0.3,0.3071,-0.36107694288750164,1.7393364928909953,0.8164874110846646,0.4726044109457928,0.6755371475590123,21.0,211.0
0.3,0.3714,-0.3833318241193107,2.067415730337079,0.9216223215465114,0.5150945736855667,0.657033398831431,24.0,178.0
0.3,0.4357,-0.5531471776585232,2.383116883116883,0.6856417218591072,0.5236463121950522,0.6448572381949764,20.0,154.0
0.3,0.5,-0.45465268517450197,2.6496350364963503,0.9933445743768758,0.5236463121950522,0.5620124916157614,25.0,137.0
0.3,0.05,-1.0,1.0,0.0,0.3104700874618215,2.011700146683401,70.0,368.0
0.3,0.1143,-0.5479996137820525,1.0666666666666667,0.31145598552263276,0.34745381575169815,1.1746425282582753,44.0,345.0
0.3,0.1786,-0.3913778692246228,1.2225913621262459,0.5347908546939238,0.3971386653316105,0.936614024789429,56.0,301.0
0.3,0.2429,-0.2870995084511032,1.4431372549019608,0.7993268986872727,0.4389130421757044,0.7191760286541562,29.0,255.0
0.3,0.3071,-0.2894397477199577,1.8217821782178218,1.0039135263533685,0.4726044109457928,0.6739776436850542,19.0,202.0
0.3,0.3714,-0.39646540089589927,2.0502793296089385,0.8861046700140902,0.5150945736855667,0.5998445147712574,17.0,179.0
0.3,0.4357,-0.49760791250482117,2.4864864864864864,0.8341242898384306,0.5236463121950522,0.6536597217825516,20.0,148.0
0.3,0.5,-0.4894317150785657,2.47972972972973,0.8500365222248648,0.5236463121950522,0.5498340305051806,36.0,148.0
0.3,0.05,-1.0,1.0,0.0,0.3104700874618215,2.005943194507249,84.0,368.0
0.3,0.1143,-0.6098903711600524,1.0574712643678161,0.25624708976560867,0.34745381575169815,1.2289201043217481,53.0,348.0
0.3,0.1786,-0.3291795563740036,1.2173913043478262,0.614402298720919,0.3971386653316105,0.9304582919377566,54.0,299.0
0.3,0.2429,-0.3190212989594221,1.373134328358209,0.7089159454948011,0.4389130421757044,0.781711892272837,29.0,268.0
0.3,0.3071,-0.29935321094772455,1.8724489795918366,1.0096757018504119,0.4726044109457928,0.6723753112507315,19.0,196.0
0.3,0.3714,-0.3321675381884618,2.010928961748634,1.0081041614922774,0.5150945736855667,0.6025046836594953,25.0,183.0
0.3,0.4357,-0.4545454545454545,2.5205479452054793,0.9452054794520548,0.5236463121950522,0.6158304078295234,28.0,146.0
0.3,0.5,-0.38693289855901336,2.6838235294117645,1.1863327444788991,0.5236463121950522,0.574888202441181,27.0,136.0
0.3,0.05,-0.7753686500888037,1.010989010989011,0.12791699699805292,0.3104700874618215,1.9423655732853136,68.0,364.0
0.3,0.1143,-0.5867059712150058,1.0484330484330484,0.2730884778648834,0.34745381575169815,1.2551121663866842,59.0,351.0
0.3,0.1786,-0.3594063473922249,1.218543046357616,0.5742145771376256,0.3971386653316105,0.9282178775443173,37.0,302.0
0.3,0.2429,-0.3105712052426632,1.3834586466165413,0.7277713896948126,0.4389130421757044,0.7493368534736929,33.0,266.0
0.3,0.3071,-0.3179232515207158,1.7902439024390244,0.9265211297786115,0.4726044109457928,0.7129482640912035,34.0,205.0
0.3,0.3714,-0.27654346073547464,2.0444444444444443,1.158649703664774,0.5150945736855667,0.6203305387787028,30.0,180.0
0.3,0.4357,-0.41894318033380606,2.7185185185185183,1.113232542688862,0.5236463121950522,0.603994874888735,13.0,135.0
0.3,0.5,-0.4736612150429194,2.607142857142857,0.9311776612090165,0.5236463121950522,0.554966668059789,22.0,140.0
0.3,0.05,-1.0,1.0,0.0,0.3104700874618215,2.0757808221006986,82.0,368.0
0.3,0.1143,-0.5583709568153645,1.0514285714285714,0.2979658931310558,0.34745381575169815,1.3049184226441235,79.0,350.0
0.3,0.1786,-0.34063954558622433,1.2559726962457338,0.6177191553496656,0.3971386653316105,0.8921090092358559,34.0,293.0
0.3,0.2429,-0.24379844870565304,1.5617021276595744,0.9494798556991358,0.4389130421757044,0.6814045221112118,37.0,235.0
