q,eps,B_i,mu_i,sig_i,thresh,mean_abs_belief,score,N_i
0.75,0.05,-1.0,1.0,0.0,0.0,2.721381591665481,230.99999999999997,369.0
0.75,0.1143,-1.0,1.0,0.0,0.0,1.8337869530489344,186.0,369.0
0.75,0.1786,-1.0,1.0,0.0,0.0,1.3294271461045815,152.0,369.0
0.75,0.2429,-0.8118709465757441,1.005464480874317,0.10439876051662733,0.0680262208558565,0.9397279351508008,113.0,366.0
0.75,0.3071,-0.5595664501932354,1.0825958702064897,0.3057333928042048,0.26554954410277826,0.6787750419651178,84.0,339.0
0.75,0.3714,-0.24534259867396466,1.416988416988417,0.8586719811979456,0.4641575586823115,0.5722486286112968,80.0,259.0
0.75,0.4357,-0.5048201145829503,2.5205479452054793,0.8294178357929098,0.5150945736855667,0.6524995988943564,66.0,146.0
0.75,0.5,-0.5048201145829503,2.5205479452054793,0.8294178357929097,0.5236463121950522,0.5424964840783072,44.0,146.0
0.75,0.05,-1.0,1.0,0.0,0.0,2.6864925648395417,224.0,369.0
0.75,0.1143,-1.0,1.0,0.0,0.0,1.8732497428505446,210.0,369.0
0.75,0.1786,-1.0,1.0,0.0,0.0,1.3572871632054122,159.0,369.0
0.75,0.2429,-1.0,1.0,0.0,0.0680262208558565,0.9537457319099383,150.0,368.0
0.75,0.3071,-0.5377657686500452,1.0666666666666667,0.32062740426724257,0.26554954410277826,0.6843692791498983,97.0,345.0
0.75,0.3714,-0.2600017799622603,1.3796992481203008,0.8102964646819869,0.4641575586823115,0.5592538963716277,63.0,266.0
0.75,0.4357,-0.5258618905961889,2.453333333333333,0.7623355924758829,0.5150945736855667,0.6356106017005985,55.0,150.0
0.75,0.5,-0.5090222418959776,2.5555555555555554,0.8314794192830981,0.5236463121950522,0.5400392708406537,68.0,144.0
0.75,0.05,-1.0,1.0,0.0,0.0,2.720734876606254,238.0,369.0
0.75,0.1143,-1.0,1.0,0.0,0.0,1.8446716066288187,201.0,369.0
0.75,0.1786,-1.0,1.0,0.0,0.0,1.3250440411035969,169.0,369.0
0.75,0.2429,-0.8632071528464472,1.0054794520547945,0.07382023882360263,0.0680262208558565,0.9610467203574976,132.0,365.0
0.75,0.3071,-0.5673990824415613,1.0605187319884726,0.2927023383422391,0.26554954410277826,0.6969134112412514,65.0,347.0
0.75,0.3714,-0.25537070782038906,1.416988416988417,0.840493629009985,0.4641575586823115,0.5481423568940632,73.0,259.0
0.75,0.4357,-0.4639435573994356,2.5734265734265733,0.9423190445233902,0.5150945736855667,0.6391196405454732,63.0,143.0
0.75,0.5,-0.43047948030161604,2.537931034482759,1.0104330901779277,0.5236463121950522,0.5509883548766337,53.0,145.0
0.75,0.05,-1.0,1.0,0.0,0.0,2.7431477517466045,259.0,369.0
0.75,0.1143,-1.0,1.0,0.0,0.0,1.8339708365237781,193.0,369.0
0.75,0.1786,-1.0,1.0,0.0,0.0,1.3503041414626298,143.0,369.0
0.75,0.2429,-1.0,1.0,0.0,0.0680262208558565,0.979333495219725,116.0,368.0
0.75,0.3071,-0.5385512725241364,1.0919881305637982,0.32751364368944486,0.26554954410277826,0.6811606838001121,89.0,337.0
0.75,0.3714,-0.34569285430063823,1.3142857142857143,0.6390362641812869,0.4641575586823115,0.5665862027085463,45.0,280.0
0.75,0.4357,-0.4874962393405328,2.453333333333333,0.8452744458984247,0.5150945736855667,0.6778075919346,42.0,150.0
0.75,0.5,-0.46193573338150506,2.584507042253521,0.951225730726139,0.5236463121950522,0.5596221411965071,50.0,142.0
0.75,0.05,-1.0,1.0,0.0,0.0,2.744342533421183,230.0,369.0
0.75,0.1143,-1.0,1.0,0.0,0.0,1.834568531000666,202.99999999999997,369.0
0.75,0.1786,-1.0,1.0,0.0,0.0,1.33806894631792,166.0,369.0
0.75,0.2429,-0.9011646175590797,1.002724795640327,0.05212840999920706,0.0680262208558565,0.940197429769556,126.0,367.0
0.75,0.3071,-0.5497329586552026,1.0574712643678161,0.3072429058534175,0.26554954410277826,0.6967946912014338,123.0,348.0
0.75,0.3714,-0.29562640486671077,1.3381818181818181,0.7275090525124779,0.4641575586823115,0.5647902096340264,60.0,275.0
0.75,0.4357,-0.46200610118136326,2.503401360544218,0.9212100121735332,0.5150945736855667,0.686534603809643,63.0,147.0
0.75,0.5,-0.49562141121194814,2.5664335664335662,0.8654958606183052,0.5236463121950522,0.5345682677957379,36.0,143.0
0.75,0.05,-1.0,1.0,0.0,0.0,2.7302863870204654,234.99999999999997,369.0
0.75,0.1143,-1.0,1.0,0.0,0.0,1.8435347299961864,205.0,369.0
0.75,0.1786,-1.0,1.0,0.0,0.0,1.3269783945836557,175.0,369.0
0.75,0.2429,-1.0,1.0,0.0,0.0680262208558565,0.9962614237266196,99.0,368.0
0.75,0.3071,-0.4779116465863454,1.0919881305637982,0.3857566765578635,0.26554954410277826,0.6781345667996876,64.0,337.0
0.75,0.3714,-0.3192019772006903,1.3118279569892473,0.6769925263955783,0.4641575586823115,0.5602572638869353,47.0,279.0
0.75,0.4357,-0.516924638189525,2.5347222222222223,0.8072001889628919,0.5150945736855667,0.667421052692071,37.0,144.0
